Diff 1,Diff 2,Tumor Variance,Control Variance,Levene Stat,p-value,Variance Higher In,adj p-value
6S,Fuc(a1-2),0.798957627878797,0.19090918065209658,7.3237006217051315,0.00793254751598674,Tumor,0.030155774448848448
Fuc(a1-2),Gal(b1-3),6.280258446724526,1.314034676513269,6.7971972288053735,0.009482162065703828,Tumor,0.03469083682574572
Fuc(a1-2),Gal(b1-4),9.215683808198484,0.6612249049798641,26.01920016677364,4.3162098096416686e-07,Tumor,4.316209809641669e-06
Fuc(a1-2),GalNAc(a1-3),2.8528583782008496,0.768461037929218,12.548308168184423,0.00042425012633443915,Tumor,0.00235694514630244
Fuc(a1-2),GlcNAc(b1-3),3.1619387649757646,0.7022075940264635,19.32371358304037,1.2246150340167333e-05,Tumor,9.668013426447895e-05
Fuc(a1-3),Fuc(a1-6),2.124238696485301,38.752237139710665,7.1667039510710255,0.007924538701095296,Control,0.030155774448848448
Fuc(a1-3),Gal(b1-4),13.042888669263581,0.8380124646113616,76.14090506031138,2.0034664947100572e-17,Tumor,1.0017332473550285e-15
Fuc(a1-3),Man(a1-3/6),3.166614782065808,0.007471437438229962,1147.363812806408,2.7862265356221094e-13,Tumor,8.358679606866329e-12
Fuc(a1-3),Neu5Ac(a2-3),83.547395862069,2.1135379154563196,17.679962166387433,5.344882892914763e-05,Tumor,0.00036442383360782475
Fuc(a1-4),Gal(a1-3),8.715061029039006,0.042635672271077896,inf,0.0,Tumor,0.0
Fuc(a1-6),Fuc(a1-6),2.7981823519318128,45.046726987770015,14.548370545210961,0.00015424198676613295,Control,0.0010059260006486932
Fuc(a1-6),GlcNAc(b1-2),1.925816306624014,0.21372751094369236,43.41238368684152,6.508203128038219e-11,Tumor,9.762304692057328e-10
Fuc(a1-6),Man(a1-3),6.141530828338025,0.26110061695716824,21.36402155291719,5.85576822964004e-06,Tumor,4.879806858033367e-05
Fuc(a1-6),Man(a1-3/6),11.773250103905342,0.6727911505145572,52.62348079097013,3.728631159285951e-12,Tumor,7.989923912755608e-11
Fuc(a1-6),Man(a1-6),2.354359309774601,0.2705082776484498,7.124446889308993,0.008041539853026252,Tumor,0.030155774448848448
Fuc(a1-6),Neu5Ac(a2-3/6),6.0401261847712275,0.34348342240890156,76.42199031822884,6.050702580991113e-18,Tumor,4.538026935743334e-16
Gal(b1-3/4),Neu5Ac(a2-3/6),1.3287115768573672,0.08419894041053544,48.21497626831992,6.7900756068791256e-12,Tumor,1.1316792678131876e-10
Gal(b1-4),Gal(b1-4),3.428214763997477,0.5721197690751877,29.342143216997027,6.740882862907138e-08,Tumor,7.77794176489285e-07
Gal(b1-4),GlcNAc(a1-4),15.883255145471374,1.5152108528309516,9.54434910816555,0.0023520345556056763,Tumor,0.010691066161843983
Gal(b1-4),GlcNAc(b1-4),4.439301445434695,0.23155471990485268,29.01809690980721,1.0537904207773153e-07,Tumor,1.129061165118552e-06
Gal(b1-4),GlcNAc(b1-4/6),5.736924285402846,1.9647082978332202,11.887082102492505,0.0005919256384803805,Tumor,0.0030616843369674854
Gal(b1-4),GlcNAc(b1-6),1.6364016902854945,0.3778218301506765,13.84827395780744,0.00021070093530571108,Tumor,0.0012642056118342666
Gal(b1-4),Man(a1-3),1.3670131637566085,0.11941620676374244,12.92140851436478,0.0004462858322329066,Tumor,0.002390816958390571
GalNAc(a1-3),HexNAc(?1-?),1.3056107593500674,0.10443430166940136,11.185000610680524,0.0020192195268051447,Tumor,0.009465091531899115
GlcNAc(a1-4),GlcNAc(b1-3),6.0034907413795375,0.5531615313310341,10.860436247115208,0.0010750348209658419,Tumor,0.005201781391770202
GlcNAc(a1-4),GlcNAc(b1-6),5.318913933322172,0.2438905238402489,6.357426978265162,0.012171394775211177,Tumor,0.043469267054325626
GlcNAc(b1-2),GlcNAc(b1-2),0.8728960133487031,34.78808171830205,14.311377905711819,0.00017133076648605648,Control,0.001070817290537853
GlcNAc(b1-2),Man(a1-3/6),13.657391413044838,0.4613089108409953,19.6547212862429,2.325128379265861e-05,Tumor,0.0001743846284449396
GlcNAc(b1-2),Man(a1-6),2.045726461398577,0.9071920554269686,7.706895933817125,0.006391537855440906,Tumor,0.025911639954490157
GlcNAc(b1-3),GlcNAc(b1-6),1.5939652694017141,0.1375676929015991,17.49467813545676,3.0595291248495686e-05,Tumor,0.00021853779463211202
GlcNAc(b1-3),Neu5Ac(a2-3),2.5394656468593344,11.795596305293563,22.833648114491478,3.04617961716728e-06,Control,2.687805544559365e-05
GlcNAc(b1-4),Man(a1-3/6),12.52566006849367,0.3348282609514179,60.70834331596805,8.924867336901e-13,Tumor,2.23121683422525e-11
GlcNAc(b1-4),Man(a1-6),4.064515428376289,0.6425001929966313,23.278109483449878,2.811897614241974e-06,Tumor,2.6361540133518506e-05
GlcNAc(b1-4),Neu5Ac(a2-3/6),25.020361971103434,9.204490492640616,8.22662337939464,0.004373352867260148,Tumor,0.01822230361358395
GlcNAc(b1-4/6),Man(a1-3/6),1.3710641841462223,0.02679655468416128,14.690712685783485,0.0008512356143051071,Tumor,0.004256178071525535
Man(a1-3),Man(a1-3/6),4.00719070680337,0.2441695184412055,38.68890435834822,1.7956057642040062e-08,Tumor,2.448553314823645e-07
Man(a1-3),Neu5Ac(a2-3/6),4.749922173098712,0.04679955670023452,98.68554374575946,1.4800288790166412e-15,Tumor,5.5501082963124045e-14
Man(a1-3/6),Man(a1-6),4.136255032800712,0.32047449260265115,57.00083804993895,6.579746553850283e-12,Tumor,1.1316792678131876e-10
Neu5Ac(a2-3),Neu5Ac(a2-3),40.809321436253605,11.555948360110259,8.81858248915668,0.0031761954394713774,Tumor,0.013612266169163046
Neu5Ac(a2-3),Neu5Ac(a2-3/6),0.49948988031167474,57.43471648404591,9.525597939161083,0.003027561862089536,Control,0.01335689056804207
Neu5Ac(a2-3),Neu5Ac(a2-6),150.39481904777426,95.39738921999543,12.737882218519644,0.0003818312592048692,Tumor,0.002202872649258861
Neu5Ac(a2-3/6),Neu5Ac(a2-6),18.648069739721784,62.48839697573456,34.368421310765406,3.6002431344138854e-08,Control,4.500303918017357e-07
